title,url,instructionalLevel,corpus
"Master JavaScript Programming, 3 Projects Included !!",https://www.udemy.com/master-javascript-programming-extended-course/,All Levels,"Master JavaScript Programming, 3 Projects Included !! master javascript programming extended courseWeb DevelopmentAll Levels"
HTML CSS Learn to create a website from scratch,https://www.udemy.com/html-css-learn-to-create-a-website-from-scratch/,Beginner Level,HTML CSS Learn to create a website from scratch html css learn to create a website from scratchWeb DevelopmentBeginner Level
Complete Codeigniter: From Beginner to Advanced,https://www.udemy.com/complete-codeigniter-course-from-basic-to-advanced/,All Levels,Complete Codeigniter: From Beginner to Advanced complete codeigniter course from basic to advancedWeb DevelopmentAll Levels
HTML 5: How I made websites in HTML5,https://www.udemy.com/html5-certification/,All Levels,HTML 5: How I made websites in HTML5 html5 certificationWeb DevelopmentAll Levels
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",https://www.udemy.com/build-responsive-website-using-html5-css3-js-and-bootstrap/,All Levels,"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap build responsive website using html5 css3 js and bootstrapWeb DevelopmentAll Levels"
Complete React JS web developer with ES6 - Build 10 projects,https://www.udemy.com/complete-react-js-course/,Beginner Level,Complete React JS web developer with ES6 - Build 10 projects complete react js courseWeb DevelopmentBeginner Level
Complete WordPress Theme Developer Course With Bootstrap,https://www.udemy.com/the-complete-wordpress-theme-developer-course/,All Levels,Complete WordPress Theme Developer Course With Bootstrap the complete wordpress theme developer courseWeb DevelopmentAll Levels
The Complete Ethical Hacking Course 2.0: Python & Kali Linux,https://www.udemy.com/penetration-testing-ethical-hacking-course-python-kali-linux/,All Levels,The Complete Ethical Hacking Course 2.0: Python & Kali Linux penetration testing ethical hacking course python kali linuxWeb DevelopmentAll Levels
Dynamic JavaScript Master Class AJAX JSON Simple APIs,https://www.udemy.com/ajax-course/,Intermediate Level,Dynamic JavaScript Master Class AJAX JSON Simple APIs ajax courseWeb DevelopmentIntermediate Level
Vue JS - Mastering Web Apps,https://www.udemy.com/vue-web-apps/,All Levels,Vue JS - Mastering Web Apps vue web appsWeb DevelopmentAll Levels
Angular NgRx Store Masterclass - Covers Angular 4,https://www.udemy.com/angular-ngrx-course/,Intermediate Level,Angular NgRx Store Masterclass - Covers Angular 4 angular ngrx courseWeb DevelopmentIntermediate Level
JavaScript the Basics - JavaScript for Beginners,https://www.udemy.com/javascript-the-basics-for-beginners/,Beginner Level,JavaScript the Basics - JavaScript for Beginners javascript the basics for beginnersWeb DevelopmentBeginner Level
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",https://www.udemy.com/complete-e-commerce-course-javaspringhibernate-and-mysql/,All Levels,"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL complete e commerce course javaspringhibernate and mysqlWeb DevelopmentAll Levels"
"Learn SVG Animation - With HTML, CSS & Javascript",https://www.udemy.com/learn-svg-animation/,All Levels,"Learn SVG Animation - With HTML, CSS & Javascript learn svg animationWeb DevelopmentAll Levels"
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",https://www.udemy.com/build-a-responsive-website-with-html5-css3-and-bootstrap-4/,All Levels,"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4 build a responsive website with html5 css3 and bootstrap 4Web DevelopmentAll Levels"
CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,All Levels,CSS Development (with CSS3!) css development with css3Web DevelopmentAll Levels
Angular 2 & TypeScript Beginner Web Development,https://www.udemy.com/angular2/,Beginner Level,Angular 2 & TypeScript Beginner Web Development angular2Web DevelopmentBeginner Level
The Docker for DevOps course: From development to production,https://www.udemy.com/the-docker-for-devops-course-from-development-to-production/,All Levels,The Docker for DevOps course: From development to production the docker for devops course from development to productionWeb DevelopmentAll Levels
"Beginner Full Stack Web Development: HTML, CSS, React & Node",https://www.udemy.com/ultimate-web/,Beginner Level,"Beginner Full Stack Web Development: HTML, CSS, React & Node ultimate webWeb DevelopmentBeginner Level"
Learn Angular 2 Development By Building 12 Apps,https://www.udemy.com/learn-angular-2-development-by-building-10-apps/,Intermediate Level,Learn Angular 2 Development By Building 12 Apps learn angular 2 development by building 10 appsWeb DevelopmentIntermediate Level
"Server API Development in Swift, Kitura, & Bluemix",https://www.udemy.com/swift-kitura/,Beginner Level,"Server API Development in Swift, Kitura, & Bluemix swift kituraWeb DevelopmentBeginner Level"
React VR - Creating Virtual Reality Apps,https://www.udemy.com/react-vr/,All Levels,React VR - Creating Virtual Reality Apps react vrWeb DevelopmentAll Levels
RxJs & Reactive Programming Angular Masterclass - Angular 4,https://www.udemy.com/rxjs-reactive-angular-course/,All Levels,RxJs & Reactive Programming Angular Masterclass - Angular 4 rxjs reactive angular courseWeb DevelopmentAll Levels
"Coding for Entrepreneurs: Learn Python, Django, and More.",https://www.udemy.com/coding-for-entrepreneurs/,All Levels,"Coding for Entrepreneurs: Learn Python, Django, and More. coding for entrepreneursWeb DevelopmentAll Levels"
React and Flux Web Development for Beginners,https://www.udemy.com/react-flux/,Beginner Level,React and Flux Web Development for Beginners react fluxWeb DevelopmentBeginner Level
The Full Stack Web Development,https://www.udemy.com/the-full-stack-web-development/,Beginner Level,The Full Stack Web Development the full stack web developmentWeb DevelopmentBeginner Level
Learn Nodejs by building 12 projects,https://www.udemy.com/learn-nodejs-by-building-10-projects/,All Levels,Learn Nodejs by building 12 projects learn nodejs by building 10 projectsWeb DevelopmentAll Levels
How to Make an Online Portfolio Website from Scratch ,https://www.udemy.com/how-to-make-a-portfolio-website-photographers-designers/,All Levels,How to Make an Online Portfolio Website from Scratch  how to make a portfolio website photographers designersWeb DevelopmentAll Levels
How To Make A Web Page With No Code,https://www.udemy.com/how-to-make-a-web-page-with-no-code/,Beginner Level,How To Make A Web Page With No Code how to make a web page with no codeWeb DevelopmentBeginner Level
Spring Framework 4 And Dependency Injection For Beginners,https://www.udemy.com/spring-framework-video-tutorial/,Beginner Level,Spring Framework 4 And Dependency Injection For Beginners spring framework video tutorialWeb DevelopmentBeginner Level
Joomla 3 - The Basics,https://www.udemy.com/joomla-3-the-basics/,Beginner Level,Joomla 3 - The Basics joomla 3 the basicsWeb DevelopmentBeginner Level
jQuery in Action: Build 8 jQuery Projects,https://www.udemy.com/jquery-web-development-made-easy/,All Levels,jQuery in Action: Build 8 jQuery Projects jquery web development made easyWeb DevelopmentAll Levels
Master WordPress Plugins: Shortcodes Ultimate - The Basics,https://www.udemy.com/master-popular-wordpress-plugin-shortcodes-ultimate/,All Levels,Master WordPress Plugins: Shortcodes Ultimate - The Basics master popular wordpress plugin shortcodes ultimateWeb DevelopmentAll Levels
ASP.NET C# - Enterprise Web Systems From Novice to Expert,https://www.udemy.com/aspnet-c-enterprise-web-systems-from-novice-to-expert/,All Levels,ASP.NET C# - Enterprise Web Systems From Novice to Expert aspnet c enterprise web systems from novice to expertWeb DevelopmentAll Levels
Wordpress - Create an Outstanding Website in 2 hours,https://www.udemy.com/wordpress-business-website/,Beginner Level,Wordpress - Create an Outstanding Website in 2 hours wordpress business websiteWeb DevelopmentBeginner Level
Complete Website & CMS in PHP & MySQL From Scratch!,https://www.udemy.com/cms-admin-panel-in-php-mysql/,All Levels,Complete Website & CMS in PHP & MySQL From Scratch! cms admin panel in php mysqlWeb DevelopmentAll Levels
The Complete Web Development Tutorial Using React and Redux,https://www.udemy.com/the-complete-web-development-tutorial-using-react-and-redux/,Intermediate Level,The Complete Web Development Tutorial Using React and Redux the complete web development tutorial using react and reduxWeb DevelopmentIntermediate Level
Create and Deploy a Web App in 3 Hours,https://www.udemy.com/create-and-deploy-a-web-app-in-3-hours/,Beginner Level,Create and Deploy a Web App in 3 Hours create and deploy a web app in 3 hoursWeb DevelopmentBeginner Level
HTML & CSS From Scratch in 30 Days,https://www.udemy.com/html5-css3-responsive/,Beginner Level,HTML & CSS From Scratch in 30 Days html5 css3 responsiveWeb DevelopmentBeginner Level
Getting Started with Craft CMS,https://www.udemy.com/craft-cms/,All Levels,Getting Started with Craft CMS craft cmsWeb DevelopmentAll Levels
JavaScript For Absolute Beginners - Level One,https://www.udemy.com/javascript-for-absolute-beginners-level-one/,All Levels,JavaScript For Absolute Beginners - Level One javascript for absolute beginners level oneWeb DevelopmentAll Levels
Effective Personal Website Building and Hosting,https://www.udemy.com/effective-personal-website-building-and-hosting/,All Levels,Effective Personal Website Building and Hosting effective personal website building and hostingWeb DevelopmentAll Levels
Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/web-design-secrets/,All Levels,Web Design for Web Developers: Build Beautiful Websites! web design secretsWeb DevelopmentAll Levels
"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",https://www.udemy.com/learn-rails/,All Levels,"Learn Rails: Quickly Code, Style and Launch 4 Web Apps learn railsWeb DevelopmentAll Levels"
Getting Started with NodeJS for Beginners,https://www.udemy.com/getting-started-with-nodejs-for-beginners/,All Levels,Getting Started with NodeJS for Beginners getting started with nodejs for beginnersWeb DevelopmentAll Levels
Quickstart AngularJS,https://www.udemy.com/quickstart-angularjs/,Beginner Level,Quickstart AngularJS quickstart angularjsWeb DevelopmentBeginner Level
Byte-Sized-Chunks: Cascading Style Sheets (CSS) with HTML,https://www.udemy.com/css-with-html/,All Levels,Byte-Sized-Chunks: Cascading Style Sheets (CSS) with HTML css with htmlWeb DevelopmentAll Levels
Learn Building Your Own Website Without Coding,https://www.udemy.com/learn-building-your-own-website-without-coding/,All Levels,Learn Building Your Own Website Without Coding learn building your own website without codingWeb DevelopmentAll Levels
Practical Guide to Web Development,https://www.udemy.com/designers-guide-to-web-development/,Beginner Level,Practical Guide to Web Development designers guide to web developmentWeb DevelopmentBeginner Level
The Complete HTML5 and CSS3 Course,https://www.udemy.com/the-complete-html5-and-css3-course/,All Levels,The Complete HTML5 and CSS3 Course the complete html5 and css3 courseWeb DevelopmentAll Levels
HTML & CSS for beginners: Build 3 projects from scratch,https://www.udemy.com/learn-html-css-by-building-3-real-projects/,Beginner Level,HTML & CSS for beginners: Build 3 projects from scratch learn html css by building 3 real projectsWeb DevelopmentBeginner Level
Code a 'Coming Soon' Landing Page in Bootstrap 4,https://www.udemy.com/code-a-coming-soon-landing-page-in-bootstrap-4/,All Levels,Code a 'Coming Soon' Landing Page in Bootstrap 4 code a coming soon landing page in bootstrap 4Web DevelopmentAll Levels
Introduction to Bootstrap 3,https://www.udemy.com/introduction-to-bootstrap-3/,Beginner Level,Introduction to Bootstrap 3 introduction to bootstrap 3Web DevelopmentBeginner Level
Master ExpressJS to Build Web Apps with NodeJS&JavaScript,https://www.udemy.com/expressjs/,All Levels,Master ExpressJS to Build Web Apps with NodeJS&JavaScript expressjsWeb DevelopmentAll Levels
Learn XML Crash Course: Discover Essential XML Fundamentals ,https://www.udemy.com/learn-xml-crash-course/,Intermediate Level,Learn XML Crash Course: Discover Essential XML Fundamentals  learn xml crash courseWeb DevelopmentIntermediate Level
HTML5 CSS3 JQUERY Single Page Website Project from Scratch,https://www.udemy.com/html5-css3-jquery-single-page-website-project-from-scratch/,All Levels,HTML5 CSS3 JQUERY Single Page Website Project from Scratch html5 css3 jquery single page website project from scratchWeb DevelopmentAll Levels
Scrape Websites using PhantomJS and CasperJS,https://www.udemy.com/scrape-websites-phantomjs-casperjs/,Intermediate Level,Scrape Websites using PhantomJS and CasperJS scrape websites phantomjs casperjsWeb DevelopmentIntermediate Level
Amazon s3 Mastery - THE How-To' Guides For Amazon S3,https://www.udemy.com/amazon-s3-mastery/,All Levels,Amazon s3 Mastery - THE How-To' Guides For Amazon S3 amazon s3 masteryWeb DevelopmentAll Levels
HTML and CSS Crash Course for Beginners,https://www.udemy.com/html-and-css-crash-course-for-beginners/,Beginner Level,HTML and CSS Crash Course for Beginners html and css crash course for beginnersWeb DevelopmentBeginner Level
EMMET Faster HTML & CSS workflow - Best Tool For Developers ,https://www.udemy.com/emmet-start-coding-html-and-css-fast-and-easy/,All Levels,EMMET Faster HTML & CSS workflow - Best Tool For Developers  emmet start coding html and css fast and easyWeb DevelopmentAll Levels
Introduction to Web Development,https://www.udemy.com/introduction-to-web-development2/,Beginner Level,Introduction to Web Development introduction to web development2Web DevelopmentBeginner Level
AngularJS For ASP.NET MVC Developers,https://www.udemy.com/angularjs-for-aspnet-mvc-developers/,Intermediate Level,AngularJS For ASP.NET MVC Developers angularjs for aspnet mvc developersWeb DevelopmentIntermediate Level
Serverless Workflow Management with AWS Step Functions,https://www.udemy.com/aws-step-functions/,Intermediate Level,Serverless Workflow Management with AWS Step Functions aws step functionsWeb DevelopmentIntermediate Level
How to set up a Web Server From Scratch to One Fully Managed,https://www.udemy.com/how-to-setup-a-web-server/,All Levels,How to set up a Web Server From Scratch to One Fully Managed how to setup a web serverWeb DevelopmentAll Levels
The Complete PHP MySQL Professional Course with 5 Projects,https://www.udemy.com/the-complete-php-mysql-professional-course/,All Levels,The Complete PHP MySQL Professional Course with 5 Projects the complete php mysql professional courseWeb DevelopmentAll Levels
Angular Masterclass,https://www.udemy.com/angular-2-fundamentals-with-typescript-for-pro-developers-systemjs/,All Levels,Angular Masterclass angular 2 fundamentals with typescript for pro developers systemjsWeb DevelopmentAll Levels
Become a Professional Web Developer | Version 3.0,https://www.udemy.com/web-development-tutorials/,All Levels,Become a Professional Web Developer | Version 3.0 web development tutorialsWeb DevelopmentAll Levels
Build Incredible Chatbots,https://www.udemy.com/build-incredible-chatbots/,All Levels,Build Incredible Chatbots build incredible chatbotsWeb DevelopmentAll Levels
Try Django 1.10 | Create a URL Shortening Service,https://www.udemy.com/try-django-1-10/,All Levels,Try Django 1.10 | Create a URL Shortening Service try django 1 10Web DevelopmentAll Levels
Projects in CSS,https://www.udemy.com/projects-in-css/,All Levels,Projects in CSS projects in cssWeb DevelopmentAll Levels
Ruby on Rails: Training and Skills to Build Web Applications,https://www.udemy.com/the-startups-guide-to-web-development-with-ruby-on-rails/,All Levels,Ruby on Rails: Training and Skills to Build Web Applications the startups guide to web development with ruby on railsWeb DevelopmentAll Levels
Learn and Understand React,https://www.udemy.com/learn-and-understand-react-and-redux-i/,All Levels,Learn and Understand React learn and understand react and redux iWeb DevelopmentAll Levels
