title,url,instructionalLevel,source,institution,isPaid,corpus
Start Writing JavaScript Today - Beginner JavaScript Course,https://www.udemy.com/start-writing-javascript-today/,Beginner Level,Udemy,Independent/Organisation,True,Start Writing JavaScript Today - Beginner JavaScript Course start writing javascript todayIT and Web Development Beginner Level Udemy Independent/Organisation
HTML5 Essentials for Beginners,https://www.udemy.com/html5-essentials-for-beginners/,Intermediate Level,Udemy,Independent/Organisation,True,HTML5 Essentials for Beginners html5 essentials for beginnersIT and Web Development Intermediate Level Udemy Independent/Organisation
Code a personal splash page in 1 hour,https://www.udemy.com/intro-to-html-and-css/,Beginner Level,Udemy,Independent/Organisation,True,Code a personal splash page in 1 hour intro to html and cssIT and Web Development Beginner Level Udemy Independent/Organisation
Step-by-step HTML and CSS for Absolute Beginners,https://www.udemy.com/step-by-step-html-and-css-for-absolute-beginners/,Beginner Level,Udemy,Independent/Organisation,True,Step-by-step HTML and CSS for Absolute Beginners step by step html and css for absolute beginnersIT and Web Development Beginner Level Udemy Independent/Organisation
Angular 4 Development Decoded,https://www.udemy.com/marutiangular4/,Intermediate Level,Udemy,Independent/Organisation,True,Angular 4 Development Decoded marutiangular4IT and Web Development Intermediate Level Udemy Independent/Organisation
Javascript ES6! A Complete Reference Guide to Javascript ES6,https://www.udemy.com/javascript-es6-a-complete-reference-guide-to-javascript-es6/,Intermediate Level,Udemy,Independent/Organisation,True,Javascript ES6! A Complete Reference Guide to Javascript ES6 javascript es6 a complete reference guide to javascript es6IT and Web Development Intermediate Level Udemy Independent/Organisation
Reactive JS:  Are you ready for the next big paradigm shift?,https://www.udemy.com/reactive-js-getting-ready-for-the-next-big-paradigm-shift/,Intermediate Level,Udemy,Independent/Organisation,True,Reactive JS:  Are you ready for the next big paradigm shift? reactive js getting ready for the next big paradigm shiftIT and Web Development Intermediate Level Udemy Independent/Organisation
Learn Python and Django: Payment Processing,https://www.udemy.com/learn-django-code-accept-payments-with-stripe/,All Levels,Udemy,Independent/Organisation,True,Learn Python and Django: Payment Processing learn django code accept payments with stripeIT and Web Development All Levels Udemy Independent/Organisation
Code your first Website using HTML & CSS: Project Learning,https://www.udemy.com/code-your-first-website-using-html-css-project-learning/,Beginner Level,Udemy,Independent/Organisation,True,Code your first Website using HTML & CSS: Project Learning code your first website using html css project learningIT and Web Development Beginner Level Udemy Independent/Organisation
"React.js: Building Production Ready Apps, Start to Finish",https://www.udemy.com/reactjs-building-production-ready-apps-start-to-finish/,All Levels,Udemy,Independent/Organisation,True,"React.js: Building Production Ready Apps, Start to Finish reactjs building production ready apps start to finishIT and Web Development All Levels Udemy Independent/Organisation"
Learn Object Oriented Programming PHP fundamentals bootcamp,https://www.udemy.com/learn-object-oriented-programming-php-fundamentals-bootcamp/,All Levels,Udemy,Independent/Organisation,True,Learn Object Oriented Programming PHP fundamentals bootcamp learn object oriented programming php fundamentals bootcampIT and Web Development All Levels Udemy Independent/Organisation
Javascript Intermediate level 2 - Mastering Functions,https://www.udemy.com/javascript-intermediate-mastering-functions/,All Levels,Udemy,Independent/Organisation,True,Javascript Intermediate level 2 - Mastering Functions javascript intermediate mastering functionsIT and Web Development All Levels Udemy Independent/Organisation
1 Hour CSS,https://www.udemy.com/1-hour-css/,Beginner Level,Udemy,Independent/Organisation,True,1 Hour CSS 1 hour cssIT and Web Development Beginner Level Udemy Independent/Organisation
"Become a Full Stack Developer with Spring, AWS and Stripe",https://www.udemy.com/become-a-full-stack-developer-with-spring-aws-and-stripe/,Intermediate Level,Udemy,Independent/Organisation,True,"Become a Full Stack Developer with Spring, AWS and Stripe become a full stack developer with spring aws and stripeIT and Web Development Intermediate Level Udemy Independent/Organisation"
Complete JQuery And JQuery UI Course For Beginner,https://www.udemy.com/complete-jquery-and-jquery-ui-course-for-beginner/,Intermediate Level,Udemy,Independent/Organisation,True,Complete JQuery And JQuery UI Course For Beginner complete jquery and jquery ui course for beginnerIT and Web Development Intermediate Level Udemy Independent/Organisation
Learn JavaScript for Web Development,https://www.udemy.com/javascript-learn-javascript-essentials-and-build-project/,Intermediate Level,Udemy,Independent/Organisation,True,Learn JavaScript for Web Development javascript learn javascript essentials and build projectIT and Web Development Intermediate Level Udemy Independent/Organisation
"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",https://www.udemy.com/complete-ajax-using-bootstrap-php-from-basic-to-advanced/,All Levels,Udemy,Independent/Organisation,True,"Complete AJAX Using Bootstrap, PHP From Basic To Advanced. complete ajax using bootstrap php from basic to advancedIT and Web Development All Levels Udemy Independent/Organisation"
Complete Wordpress Theme Development Course,https://www.udemy.com/complete-wordpress-theme-development-course/,All Levels,Udemy,Independent/Organisation,True,Complete Wordpress Theme Development Course complete wordpress theme development courseIT and Web Development All Levels Udemy Independent/Organisation
How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,https://www.udemy.com/how-to-make-your-wordpress-site-blazing-fast/,All Levels,Udemy,Independent/Organisation,True,How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience how to make your wordpress site blazing fastIT and Web Development All Levels Udemy Independent/Organisation
Build A Web App With Spring Framework and Angular 2,https://www.udemy.com/build-a-web-app-with-spring-boot-and-angular-2/,All Levels,Udemy,Independent/Organisation,True,Build A Web App With Spring Framework and Angular 2 build a web app with spring boot and angular 2IT and Web Development All Levels Udemy Independent/Organisation
Projects in Laravel: Learn Laravel Building 10 Projects,https://www.udemy.com/projects-in-laravel-learn-laravel-building-10-projects/,Intermediate Level,Udemy,Independent/Organisation,True,Projects in Laravel: Learn Laravel Building 10 Projects projects in laravel learn laravel building 10 projectsIT and Web Development Intermediate Level Udemy Independent/Organisation
Javascript Intermediate level 3 - JSON,https://www.udemy.com/javascript-intermediate-json-course/,All Levels,Udemy,Independent/Organisation,True,Javascript Intermediate level 3 - JSON javascript intermediate json courseIT and Web Development All Levels Udemy Independent/Organisation
Develop Your First App in an Hour,https://www.udemy.com/develop-your-first-app-in-an-hour/,Beginner Level,Udemy,Independent/Organisation,True,Develop Your First App in an Hour develop your first app in an hourIT and Web Development Beginner Level Udemy Independent/Organisation
PHP: Ultimate guide to PHP for everyone,https://www.udemy.com/basic-php/,Beginner Level,Udemy,Independent/Organisation,True,PHP: Ultimate guide to PHP for everyone basic phpIT and Web Development Beginner Level Udemy Independent/Organisation
JavaScript DOM Dynamic Web interactive content Boot Camp,https://www.udemy.com/javascript-dom-dynamic-web-interactive-content-boot-camp/,All Levels,Udemy,Independent/Organisation,True,JavaScript DOM Dynamic Web interactive content Boot Camp javascript dom dynamic web interactive content boot campIT and Web Development All Levels Udemy Independent/Organisation
"Master JavaScript Programming, 3 Projects Included !!",https://www.udemy.com/master-javascript-programming-extended-course/,All Levels,Udemy,Independent/Organisation,True,"Master JavaScript Programming, 3 Projects Included !! master javascript programming extended courseIT and Web Development All Levels Udemy Independent/Organisation"
HTML CSS Learn to create a website from scratch,https://www.udemy.com/html-css-learn-to-create-a-website-from-scratch/,Beginner Level,Udemy,Independent/Organisation,True,HTML CSS Learn to create a website from scratch html css learn to create a website from scratchIT and Web Development Beginner Level Udemy Independent/Organisation
Complete Codeigniter: From Beginner to Advanced,https://www.udemy.com/complete-codeigniter-course-from-basic-to-advanced/,All Levels,Udemy,Independent/Organisation,True,Complete Codeigniter: From Beginner to Advanced complete codeigniter course from basic to advancedIT and Web Development All Levels Udemy Independent/Organisation
HTML 5: How I made websites in HTML5,https://www.udemy.com/html5-certification/,All Levels,Udemy,Independent/Organisation,True,HTML 5: How I made websites in HTML5 html5 certificationIT and Web Development All Levels Udemy Independent/Organisation
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",https://www.udemy.com/build-responsive-website-using-html5-css3-js-and-bootstrap/,All Levels,Udemy,Independent/Organisation,True,"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap build responsive website using html5 css3 js and bootstrapIT and Web Development All Levels Udemy Independent/Organisation"
Complete React JS web developer with ES6 - Build 10 projects,https://www.udemy.com/complete-react-js-course/,Beginner Level,Udemy,Independent/Organisation,True,Complete React JS web developer with ES6 - Build 10 projects complete react js courseIT and Web Development Beginner Level Udemy Independent/Organisation
Complete WordPress Theme Developer Course With Bootstrap,https://www.udemy.com/the-complete-wordpress-theme-developer-course/,All Levels,Udemy,Independent/Organisation,True,Complete WordPress Theme Developer Course With Bootstrap the complete wordpress theme developer courseIT and Web Development All Levels Udemy Independent/Organisation
The Complete Ethical Hacking Course 2.0: Python & Kali Linux,https://www.udemy.com/penetration-testing-ethical-hacking-course-python-kali-linux/,All Levels,Udemy,Independent/Organisation,True,The Complete Ethical Hacking Course 2.0: Python & Kali Linux penetration testing ethical hacking course python kali linuxIT and Web Development All Levels Udemy Independent/Organisation
Dynamic JavaScript Master Class AJAX JSON Simple APIs,https://www.udemy.com/ajax-course/,Intermediate Level,Udemy,Independent/Organisation,True,Dynamic JavaScript Master Class AJAX JSON Simple APIs ajax courseIT and Web Development Intermediate Level Udemy Independent/Organisation
Vue JS - Mastering Web Apps,https://www.udemy.com/vue-web-apps/,All Levels,Udemy,Independent/Organisation,True,Vue JS - Mastering Web Apps vue web appsIT and Web Development All Levels Udemy Independent/Organisation
Angular NgRx Store Masterclass - Covers Angular 4,https://www.udemy.com/angular-ngrx-course/,Intermediate Level,Udemy,Independent/Organisation,True,Angular NgRx Store Masterclass - Covers Angular 4 angular ngrx courseIT and Web Development Intermediate Level Udemy Independent/Organisation
JavaScript the Basics - JavaScript for Beginners,https://www.udemy.com/javascript-the-basics-for-beginners/,Beginner Level,Udemy,Independent/Organisation,True,JavaScript the Basics - JavaScript for Beginners javascript the basics for beginnersIT and Web Development Beginner Level Udemy Independent/Organisation
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",https://www.udemy.com/complete-e-commerce-course-javaspringhibernate-and-mysql/,All Levels,Udemy,Independent/Organisation,True,"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL complete e commerce course javaspringhibernate and mysqlIT and Web Development All Levels Udemy Independent/Organisation"
"Learn SVG Animation - With HTML, CSS & Javascript",https://www.udemy.com/learn-svg-animation/,All Levels,Udemy,Independent/Organisation,True,"Learn SVG Animation - With HTML, CSS & Javascript learn svg animationIT and Web Development All Levels Udemy Independent/Organisation"
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",https://www.udemy.com/build-a-responsive-website-with-html5-css3-and-bootstrap-4/,All Levels,Udemy,Independent/Organisation,True,"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4 build a responsive website with html5 css3 and bootstrap 4IT and Web Development All Levels Udemy Independent/Organisation"
CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,All Levels,Udemy,Independent/Organisation,True,CSS Development (with CSS3!) css development with css3IT and Web Development All Levels Udemy Independent/Organisation
Angular 2 & TypeScript Beginner Web Development,https://www.udemy.com/angular2/,Beginner Level,Udemy,Independent/Organisation,True,Angular 2 & TypeScript Beginner Web Development angular2IT and Web Development Beginner Level Udemy Independent/Organisation
The Docker for DevOps course: From development to production,https://www.udemy.com/the-docker-for-devops-course-from-development-to-production/,All Levels,Udemy,Independent/Organisation,True,The Docker for DevOps course: From development to production the docker for devops course from development to productionIT and Web Development All Levels Udemy Independent/Organisation
"Beginner Full Stack Web Development: HTML, CSS, React & Node",https://www.udemy.com/ultimate-web/,Beginner Level,Udemy,Independent/Organisation,True,"Beginner Full Stack Web Development: HTML, CSS, React & Node ultimate webIT and Web Development Beginner Level Udemy Independent/Organisation"
Learn Angular 2 Development By Building 12 Apps,https://www.udemy.com/learn-angular-2-development-by-building-10-apps/,Intermediate Level,Udemy,Independent/Organisation,True,Learn Angular 2 Development By Building 12 Apps learn angular 2 development by building 10 appsIT and Web Development Intermediate Level Udemy Independent/Organisation
"Server API Development in Swift, Kitura, & Bluemix",https://www.udemy.com/swift-kitura/,Beginner Level,Udemy,Independent/Organisation,True,"Server API Development in Swift, Kitura, & Bluemix swift kituraIT and Web Development Beginner Level Udemy Independent/Organisation"
React VR - Creating Virtual Reality Apps,https://www.udemy.com/react-vr/,All Levels,Udemy,Independent/Organisation,True,React VR - Creating Virtual Reality Apps react vrIT and Web Development All Levels Udemy Independent/Organisation
RxJs & Reactive Programming Angular Masterclass - Angular 4,https://www.udemy.com/rxjs-reactive-angular-course/,All Levels,Udemy,Independent/Organisation,True,RxJs & Reactive Programming Angular Masterclass - Angular 4 rxjs reactive angular courseIT and Web Development All Levels Udemy Independent/Organisation
"Coding for Entrepreneurs: Learn Python, Django, and More.",https://www.udemy.com/coding-for-entrepreneurs/,All Levels,Udemy,Independent/Organisation,True,"Coding for Entrepreneurs: Learn Python, Django, and More. coding for entrepreneursIT and Web Development All Levels Udemy Independent/Organisation"
React and Flux Web Development for Beginners,https://www.udemy.com/react-flux/,Beginner Level,Udemy,Independent/Organisation,True,React and Flux Web Development for Beginners react fluxIT and Web Development Beginner Level Udemy Independent/Organisation
The Full Stack Web Development,https://www.udemy.com/the-full-stack-web-development/,Beginner Level,Udemy,Independent/Organisation,True,The Full Stack Web Development the full stack web developmentIT and Web Development Beginner Level Udemy Independent/Organisation
Learn Nodejs by building 12 projects,https://www.udemy.com/learn-nodejs-by-building-10-projects/,All Levels,Udemy,Independent/Organisation,True,Learn Nodejs by building 12 projects learn nodejs by building 10 projectsIT and Web Development All Levels Udemy Independent/Organisation
How to Make an Online Portfolio Website from Scratch ,https://www.udemy.com/how-to-make-a-portfolio-website-photographers-designers/,All Levels,Udemy,Independent/Organisation,False,How to Make an Online Portfolio Website from Scratch  how to make a portfolio website photographers designersIT and Web Development All Levels Udemy Independent/Organisation
How To Make A Web Page With No Code,https://www.udemy.com/how-to-make-a-web-page-with-no-code/,Beginner Level,Udemy,Independent/Organisation,False,How To Make A Web Page With No Code how to make a web page with no codeIT and Web Development Beginner Level Udemy Independent/Organisation
Spring Framework 4 And Dependency Injection For Beginners,https://www.udemy.com/spring-framework-video-tutorial/,Beginner Level,Udemy,Independent/Organisation,False,Spring Framework 4 And Dependency Injection For Beginners spring framework video tutorialIT and Web Development Beginner Level Udemy Independent/Organisation
Joomla 3 - The Basics,https://www.udemy.com/joomla-3-the-basics/,Beginner Level,Udemy,Independent/Organisation,False,Joomla 3 - The Basics joomla 3 the basicsIT and Web Development Beginner Level Udemy Independent/Organisation
jQuery in Action: Build 8 jQuery Projects,https://www.udemy.com/jquery-web-development-made-easy/,All Levels,Udemy,Independent/Organisation,True,jQuery in Action: Build 8 jQuery Projects jquery web development made easyIT and Web Development All Levels Udemy Independent/Organisation
Master WordPress Plugins: Shortcodes Ultimate - The Basics,https://www.udemy.com/master-popular-wordpress-plugin-shortcodes-ultimate/,All Levels,Udemy,Independent/Organisation,False,Master WordPress Plugins: Shortcodes Ultimate - The Basics master popular wordpress plugin shortcodes ultimateIT and Web Development All Levels Udemy Independent/Organisation
ASP.NET C# - Enterprise Web Systems From Novice to Expert,https://www.udemy.com/aspnet-c-enterprise-web-systems-from-novice-to-expert/,All Levels,Udemy,Independent/Organisation,True,ASP.NET C# - Enterprise Web Systems From Novice to Expert aspnet c enterprise web systems from novice to expertIT and Web Development All Levels Udemy Independent/Organisation
Wordpress - Create an Outstanding Website in 2 hours,https://www.udemy.com/wordpress-business-website/,Beginner Level,Udemy,Independent/Organisation,True,Wordpress - Create an Outstanding Website in 2 hours wordpress business websiteIT and Web Development Beginner Level Udemy Independent/Organisation
Complete Website & CMS in PHP & MySQL From Scratch!,https://www.udemy.com/cms-admin-panel-in-php-mysql/,All Levels,Udemy,Independent/Organisation,True,Complete Website & CMS in PHP & MySQL From Scratch! cms admin panel in php mysqlIT and Web Development All Levels Udemy Independent/Organisation
The Complete Web Development Tutorial Using React and Redux,https://www.udemy.com/the-complete-web-development-tutorial-using-react-and-redux/,Intermediate Level,Udemy,Independent/Organisation,True,The Complete Web Development Tutorial Using React and Redux the complete web development tutorial using react and reduxIT and Web Development Intermediate Level Udemy Independent/Organisation
Create and Deploy a Web App in 3 Hours,https://www.udemy.com/create-and-deploy-a-web-app-in-3-hours/,Beginner Level,Udemy,Independent/Organisation,True,Create and Deploy a Web App in 3 Hours create and deploy a web app in 3 hoursIT and Web Development Beginner Level Udemy Independent/Organisation
HTML & CSS From Scratch in 30 Days,https://www.udemy.com/html5-css3-responsive/,Beginner Level,Udemy,Independent/Organisation,True,HTML & CSS From Scratch in 30 Days html5 css3 responsiveIT and Web Development Beginner Level Udemy Independent/Organisation
Getting Started with Craft CMS,https://www.udemy.com/craft-cms/,All Levels,Udemy,Independent/Organisation,True,Getting Started with Craft CMS craft cmsIT and Web Development All Levels Udemy Independent/Organisation
JavaScript For Absolute Beginners - Level One,https://www.udemy.com/javascript-for-absolute-beginners-level-one/,All Levels,Udemy,Independent/Organisation,True,JavaScript For Absolute Beginners - Level One javascript for absolute beginners level oneIT and Web Development All Levels Udemy Independent/Organisation
Effective Personal Website Building and Hosting,https://www.udemy.com/effective-personal-website-building-and-hosting/,All Levels,Udemy,Independent/Organisation,True,Effective Personal Website Building and Hosting effective personal website building and hostingIT and Web Development All Levels Udemy Independent/Organisation
